ID,Indicator Name,Alternate (Display) Name,Indicator Definition,Measure Type,Numerator Definition,Denominator Definition,Additional Indicator Details,Nutrition Domain,Sub-domain,Indicator Code,Helix Indicator Code,Core Indicator,SOWC Indicator,SDG Indicator,SDG Indicator Code,Strategic Plan Indicator,Strategic Plan Indicator Code,Emergency Indicator,Data Quality Indicator,Collection Mechanism,Year Assignment Method,Base Population,Aggregation Method,WPP Population Used,Aggregation Notes,Decision Engine Status,Notes,Compliance Asset Id,WPP_CND_REGEX,Custodian(s)
354,The number of children who consumed 8 food group out of all the children who consumed breastmilk,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_BREASTMILK_H_FG_8,NT_CF_BREASTMILK_H_FG_8,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
355,The number of children who consumed grains out of all the children who consumed 1-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_2_H_GRAINS,NT_CF_FG_1_T_2_H_GRAINS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
356,The number of children who consumed grains out of all the children who consumed 1-3 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_3_H_GRAINS,NT_CF_FG_1_T_3_H_GRAINS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
357,The number of children who consumed grains out of all the children who consumed 1-4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_4_H_GRAINS,NT_CF_FG_1_T_4_H_GRAINS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
358,The number of children who consumed legumes out of all the children who consumed 1-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_2_H_LEGUMES,NT_CF_FG_1_T_2_H_LEGUMES,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
359,The number of children who consumed legumes out of all the children who consumed 1-3 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_3_H_LEGUMES,NT_CF_FG_1_T_3_H_LEGUMES,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
360,The number of children who consumed legumes out of all the children who consumed 1-4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_4_H_LEGUMES,NT_CF_FG_1_T_4_H_LEGUMES,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
361,The number of children who consumed vitamin-A rich fruits and vegetables out of all the children who consumed 1-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_2_H_VITA,NT_CF_FG_1_T_2_H_VITA,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
362,The number of children who consumed vitamin-A rich fruits and vegetables out of all the children who consumed 1-3 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_3_H_VITA,NT_CF_FG_1_T_3_H_VITA,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
363,The number of children who consumed vitamin-A rich fruits and vegetables out of all the children who consumed 1-4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_4_H_VITA,NT_CF_FG_1_T_4_H_VITA,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
364,The number of children who consumed other fruits and vegetables out of all the children who consumed 1-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_2_H_OTHER_FV,NT_CF_FG_1_T_2_H_OTHER_FV,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
365,The number of children who consumed other fruits and vegetables out of all the children who consumed 1-3 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_3_H_OTHER_FV,NT_CF_FG_1_T_3_H_OTHER_FV,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
366,The number of children who consumed other fruits and vegetables out of all the children who consumed 1-4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_4_H_OTHER_FV,NT_CF_FG_1_T_4_H_OTHER_FV,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
367,"The number of children who consumed flesh foods (meat, poultry, fish and organ meats) out of all the children who consumed 1-2 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_2_H_FF,NT_CF_FG_1_T_2_H_FF,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
368,"The number of children who consumed flesh foods (meat, poultry, fish and organ meats) out of all the children who consumed 1-3 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_3_H_FF,NT_CF_FG_1_T_3_H_FF,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
369,"The number of children who consumed flesh foods (meat, poultry, fish and organ meats) out of all the children who consumed 1-4 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_4_H_FF,NT_CF_FG_1_T_4_H_FF,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
370,"The number of children who consumed dairy (milk, infant formula, yogurt, cheese)  out of all the children who consumed 1-2 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_2_H_DAIRY,NT_CF_FG_1_T_2_H_DAIRY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
371,"The number of children who consumed dairy (milk, infant formula, yogurt, cheese)  out of all the children who consumed 1-3 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_3_H_DAIRY,NT_CF_FG_1_T_3_H_DAIRY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
372,"The number of children who consumed dairy (milk, infant formula, yogurt, cheese)  out of all the children who consumed 1-4 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_4_H_DAIRY,NT_CF_FG_1_T_4_H_DAIRY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
373,The number of children who consumed eggs out of all the children who consumed 1-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_2_H_EGGS,NT_CF_FG_1_T_2_H_EGGS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
374,The number of children who consumed eggs out of all the children who consumed 1-3 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_3_H_EGGS,NT_CF_FG_1_T_3_H_EGGS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
375,The number of children who consumed eggs out of all the children who consumed 1-4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_4_H_EGGS,NT_CF_FG_1_T_4_H_EGGS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
376,The number of children who consumed breastmilk out of all the children who consumed 1-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_2_H_BREASTMILK,NT_CF_FG_1_T_2_H_BREASTMILK,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
377,The number of children who consumed breastmilk out of all the children who consumed 1-3 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_3_H_BREASTMILK,NT_CF_FG_1_T_3_H_BREASTMILK,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
378,The number of children who consumed breastmilk out of all the children who consumed 1-4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_T_4_H_BREASTMILK,NT_CF_FG_1_T_4_H_BREASTMILK,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
379,The number of children who consumed 1-2 food group out of all the children who consumed grains,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_GRAINS_H_FG_1_T_2,NT_CF_GRAINS_H_FG_1_T_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
380,The number of children who consumed 1-3 food group out of all the children who consumed grains,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_GRAINS_H_FG_1_T_3,NT_CF_GRAINS_H_FG_1_T_3,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
381,The number of children who consumed 1-4 food group out of all the children who consumed grains,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_GRAINS_H_FG_1_T_4,NT_CF_GRAINS_H_FG_1_T_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
382,The number of children who consumed 1-2 food group out of all the children who consumed legumes,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_LEGUMES_H_FG_1_T_2,NT_CF_LEGUMES_H_FG_1_T_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
383,The number of children who consumed 1-3 food group out of all the children who consumed legumes,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_LEGUMES_H_FG_1_T_3,NT_CF_LEGUMES_H_FG_1_T_3,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
384,The number of children who consumed 1-4 food group out of all the children who consumed legumes,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_LEGUMES_H_FG_1_T_4,NT_CF_LEGUMES_H_FG_1_T_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
385,The number of children who consumed 1-2 food group out of all the children who consumed vitamin-A rich fruits and vegetables,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_VITA_H_FG_1_T_2,NT_CF_VITA_H_FG_1_T_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
386,The number of children who consumed 1-3 food group out of all the children who consumed vitamin-A rich fruits and vegetables,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_VITA_H_FG_1_T_3,NT_CF_VITA_H_FG_1_T_3,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
387,The number of children who consumed 1-4 food group out of all the children who consumed vitamin-A rich fruits and vegetables,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_VITA_H_FG_1_T_4,NT_CF_VITA_H_FG_1_T_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
388,The number of children who consumed 1-2 food group out of all the children who consumed other fruits and vegetables,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_OTHER_FV_H_FG_1_T_2,NT_CF_OTHER_FV_H_FG_1_T_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
389,The number of children who consumed 1-3 food group out of all the children who consumed other fruits and vegetables,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_OTHER_FV_H_FG_1_T_3,NT_CF_OTHER_FV_H_FG_1_T_3,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
390,The number of children who consumed 1-4 food group out of all the children who consumed other fruits and vegetables,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_OTHER_FV_H_FG_1_T_4,NT_CF_OTHER_FV_H_FG_1_T_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
391,"The number of children who consumed 1-2 food group out of all the children who consumed flesh foods (meat, poultry, fish and organ meats)",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FF_H_FG_1_T_2,NT_CF_FF_H_FG_1_T_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
392,"The number of children who consumed 1-3 food group out of all the children who consumed flesh foods (meat, poultry, fish and organ meats)",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FF_H_FG_1_T_3,NT_CF_FF_H_FG_1_T_3,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
